"Continent","Country","City","State/Province","Airport Name","ICAO","IATA","Channel Description","Stream URL","Webcam URL","NearbyICAOs"
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT ATIS","https://www.liveatc.net/play/rjtt_atis.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Company Channels","https://www.liveatc.net/play/rjtt2.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Del/Twr/TCA/Gnd","https://www.liveatc.net/play/rjtt_twr_tca.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Departure","https://www.liveatc.net/play/rjtt_dep.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Tokyo Control","https://www.liveatc.net/play/rjtt_control.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Twr/TCA","https://www.liveatc.net/play/rjtt_twr.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY Approach","https://www.liveatc.net/play/rjty1_app.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY ATIS","https://www.liveatc.net/play/rjty1_atis.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY Ground","https://www.liveatc.net/play/rjty1_gnd.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY Ground/Tower","https://www.liveatc.net/play/rjty1_gnd_twr.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY Tower","https://www.liveatc.net/play/rjty1_twr.pls","",""
"Asia","Kuwait","Kuwait City","","Kuwait International Airport","OKKK","KWI","OKKK Gnd/Twr/App/Radar","https://www.liveatc.net/play/okbk2.pls","",""
"Asia","Malaysia","Kota Kinabalu","","Kota Kinabalu International Airport","WBKK","BKI","Ground/Tower/Radar/Control","https://www.liveatc.net/play/wbkk2.pls","",""
"Asia","Malaysia","Panang","","Butterworth Airport","WMKB","BWH","Tower","https://www.liveatc.net/play/wmkb.pls","",""
"Asia","Pakistan","Karachi","","Jinnah International Airport","OPKC","KHI","OPKC Gnd/Twr/Radar","https://www.liveatc.net/play/opkc.pls","",""
"Asia","Pakistan","Lahore","","Allama Iqbal International Airport","OPLA","LHE","OPLA ATIS","https://www.liveatc.net/play/opla_atis.pls","",""
"Asia","Pakistan","Lahore","","Allama Iqbal International Airport","OPLA","LHE","OPLA/OPLH Gnd/Twr/App","https://www.liveatc.net/play/opla.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","Manila Center 120.5","https://www.liveatc.net/play/rpll_control_120500.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","Manila Center 128.7","https://www.liveatc.net/play/rpll_control_128700.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL App/Dep 119.9","https://www.liveatc.net/play/rpll_app_119900.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL App/Dep 124.4","https://www.liveatc.net/play/rpll_app_124400.pls","",""
