"Continent","Country","City","State/Province","Airport Name","ICAO","IATA","Channel Description","Stream URL","Webcam URL","NearbyICAOs"
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Tokyo Control","https://www.liveatc.net/play/rjaa_control1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Tower (Both)","https://www.liveatc.net/play/rjaa_twr.pls","https://youtu.be/ZIHxOzhFFUc",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Tower #1","https://www.liveatc.net/play/rjaa_twr1.pls","",""
"Asia","Japan","Tokyo","","Narita International Airport","RJAA","NRT","RJAA Tower #2","https://www.liveatc.net/play/rjaa_twr2.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT App/Dep","https://www.liveatc.net/play/rjtt_app_dep.pls","https://youtu.be/2f9NOSw-FqM",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Approach","https://www.liveatc.net/play/rjtt_app.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT ATIS","https://www.liveatc.net/play/rjtt_atis.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Company Channels","https://www.liveatc.net/play/rjtt2.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Del/Ground","https://www.liveatc.net/play/rjtt_gnd.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Del/Twr/TCA/Gnd","https://www.liveatc.net/play/rjtt_twr_tca.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Departure","https://www.liveatc.net/play/rjtt_dep.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Tokyo Control","https://www.liveatc.net/play/rjtt_control.pls","",""
"Asia","Japan","Tokyo","","Tokyo International Airport","RJTT","HND","RJTT Twr/TCA","https://www.liveatc.net/play/rjtt_twr.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY Approach","https://www.liveatc.net/play/rjty1_app.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY Approach (UHF)","https://www.liveatc.net/play/rjty1_app_uhf.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY ATIS","https://www.liveatc.net/play/rjty1_atis.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY Ground","https://www.liveatc.net/play/rjty1_gnd.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY Ground/Tower","https://www.liveatc.net/play/rjty1_gnd_twr.pls","",""
"Asia","Japan","Tokyo","","Yokota Air Base","RJTY","OKO","RJTY Tower","https://www.liveatc.net/play/rjty1_twr.pls","",""
"Asia","Malaysia","Kota Kinabalu","","Kota Kinabalu International Airport","WBKK","BKI","WBKK Gnd/Twr/Radar/Control","https://www.liveatc.net/play/wbkk2.pls","",""
"Asia","Malaysia","Panang","","Butterworth Airport","WMKB","BWH","WMKB Radar","https://www.liveatc.net/play/wmkb.pls","",""
"Asia","Pakistan","Karachi","","Jinnah International Airport","OPKC","KHI","OPKC Gnd/Twr/Radar","https://www.liveatc.net/play/opkc.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","Manila Center 120.5","https://www.liveatc.net/play/rpll_control_120500.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL App/Dep 119.9","https://www.liveatc.net/play/rpll_app_119900.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL App/Dep 124.4","https://www.liveatc.net/play/rpll_app_124400.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL App/Dep 124.8","https://www.liveatc.net/play/rpll_app_124800.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Ground","https://www.liveatc.net/play/rpll_gnd.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Ramp T3","https://www.liveatc.net/play/rpll_ramp1.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Ramp T4","https://www.liveatc.net/play/rpll_ramp_t4.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Ramp/Taxi 121.7","https://www.liveatc.net/play/rpll_ramp2.pls","",""
"Asia","Philippines","Manila","","Ninoy Aquino International Airport","RPLL","MNL","RPLL Tower","https://www.liveatc.net/play/rpll.pls","",""
